gene	go
NMD3B	GO:0005886
NMD3B	GO:0045211
NMD3B	GO:0005262
NMD3B	GO:0005261
NMD3B	GO:0016594
NMD3B	GO:0004970
NMD3B	GO:0015276
NMD3B	GO:0042165
NMD3B	GO:0030594
NMD3B	GO:0038023
NMD3B	GO:0035235
NMD3B	GO:0051205
NMD3B	GO:0051924
CAC1I	GO:0043005
CAC1I	GO:0005891
CAC1I	GO:0001518
CAC1I	GO:0008332
CAC1I	GO:0005245
CAC1I	GO:0005248
CAC1I	GO:0070509
CAC1I	GO:0030317
CAC1I	GO:0086010
CAC1I	GO:0019228
CAC1I	GO:0045956
CAC1I	GO:0034765
CAC1I	GO:0007165
CAC1I	GO:0030431
KCNN4	GO:0043005
KCNN4	GO:0043025
KCNN4	GO:0005886
KCNN4	GO:0031982
KCNN4	GO:0008076
KCNN4	GO:0015269
KCNN4	GO:0005516
KCNN4	GO:0022894
KCNN4	GO:0005267
KCNN4	GO:0019903
KCNN4	GO:0016286
KCNN4	GO:0006816
KCNN4	GO:0006884
KCNN4	GO:0006952
KCNN4	GO:0002376
KCNN4	GO:0006811
KCNN4	GO:0045332
KCNN4	GO:1901381
KCNN4	GO:0050714
KCNN4	GO:0050862
KCNN4	GO:0071805
KCNN4	GO:0006813
KCNN4	GO:0046541
KCNN4	GO:0030322
ADX	GO:0005759
ADX	GO:0005739
ADX	GO:0051537
ADX	GO:0009055
ADX	GO:0005506
ADX	GO:0071320
ADX	GO:1904322
ADX	GO:0008203
ADX	GO:0042446
ADX	GO:0006694
ALAT2	GO:0005759
ALAT2	GO:0004021
ALAT2	GO:0030170
ALAT2	GO:0006103
ALAT2	GO:0009058
ALAT2	GO:0042853
ALAT2	GO:0042851
C11B2	GO:0005743
C11B2	GO:0005739
C11B2	GO:0047783
C11B2	GO:0020037
C11B2	GO:0005506
C11B2	GO:0004507
C11B2	GO:0008395
C11B2	GO:0032342
C11B2	GO:0006700
C11B2	GO:0032870
C11B2	GO:0071375
C11B2	GO:0035865
C11B2	GO:0008203
C11B2	GO:0034651
C11B2	GO:0034650
C11B2	GO:0006704
C11B2	GO:0006705
C11B2	GO:0055075
C11B2	GO:0002017
C11B2	GO:0003091
C11B2	GO:0055078
C11B2	GO:0016125
C11B1	GO:0005743
C11B1	GO:0005739
C11B1	GO:0047783
C11B1	GO:0020037
C11B1	GO:0005506
C11B1	GO:0004507
C11B1	GO:0032342
C11B1	GO:0006700
C11B1	GO:0032870
C11B1	GO:0071375
C11B1	GO:0035865
C11B1	GO:0008203
C11B1	GO:0034651
C11B1	GO:0034650
C11B1	GO:0006704
C11B1	GO:0042593
C11B1	GO:0006955
C11B1	GO:0008217
C11B1	GO:0016125
NU1M	GO:0005743
NU1M	GO:0031966
NU1M	GO:0005747
NU1M	GO:0008137
NU1M	GO:0009060
NU1M	GO:0006120
NU1M	GO:0032981
CP11A	GO:0005743
CP11A	GO:0005759
CP11A	GO:0005739
CP11A	GO:0008386
CP11A	GO:0020037
CP11A	GO:0005506
CP11A	GO:0006700
CP11A	GO:0071375
CP11A	GO:0008203
CP11A	GO:0034650
CP11A	GO:0006704
CP11A	GO:0016125
CP11A	GO:0042359
MGMT	GO:0016020
MGMT	GO:0005654
MGMT	GO:0005634
MGMT	GO:0005509
MGMT	GO:0003677
MGMT	GO:0009008
MGMT	GO:0003908
MGMT	GO:0008168
MGMT	GO:0071479
MGMT	GO:0071407
MGMT	GO:0034599
MGMT	GO:0006307
MGMT	GO:0006266
MGMT	GO:0006281
MGMT	GO:0060644
MGMT	GO:0043066
MGMT	GO:2000781
MGMT	GO:0043281
MGMT	GO:0045471
MGMT	GO:0051593
MGMT	GO:0009636
MGMT	GO:0009410
CAC1D	GO:1990454
CAC1D	GO:0005886
CAC1D	GO:0005891
CAC1D	GO:0030018
CAC1D	GO:0051393
CAC1D	GO:0030506
CAC1D	GO:0005262
CAC1D	GO:0046872
CAC1D	GO:0005245
CAC1D	GO:0086007
CAC1D	GO:0086059
CAC1D	GO:0007188
CAC1D	GO:0070509
CAC1D	GO:0070588
CAC1D	GO:0006816
CAC1D	GO:0086002
CAC1D	GO:0086012
CAC1D	GO:0086046
CAC1D	GO:0045762
CAC1D	GO:0051928
CAC1D	GO:0060372
CAC1D	GO:0086091
CAC1D	GO:1901379
CAC1D	GO:1901016
CAC1D	GO:0007605
CCG6	GO:1990454
CCG6	GO:0005886
CCG6	GO:0005891
CCG6	GO:0005246
CCG6	GO:0005245
CCG6	GO:0006816
CCG6	GO:1902514
KCNJ8	GO:0008282
KCNJ8	GO:0005739
KCNJ8	GO:0030016
KCNJ8	GO:0005886
KCNJ8	GO:0031004
KCNJ8	GO:0042383
KCNJ8	GO:0008076
KCNJ8	GO:0005524
